GSE,GSM,age,sex
GSE68759,GSM1680760,56,F
GSE68759,GSM1680761,61,F
GSE68759,GSM1680762,56,F
GSE68759,GSM1680763,41,M
GSE68759,GSM1680764,53,F
GSE68759,GSM1680765,54,F
GSE68759,GSM1680766,64,F
GSE68759,GSM1680767,48,F
GSE68759,GSM1680768,55,F
GSE68759,GSM1680769,62,M
GSE68759,GSM1680770,59,M
GSE68759,GSM1680771,57,F
GSE68759,GSM1680772,54,F
GSE68759,GSM1680773,60,M
GSE68759,GSM1680774,39,F
GSE68759,GSM1680775,58,F
GSE68759,GSM1680776,65,M
GSE68759,GSM1680777,50,F
GSE68759,GSM1680778,62,F
GSE68759,GSM1680779,48,M
GSE68759,GSM1680780,59,M
GSE68759,GSM1680781,64,F
GSE68759,GSM1680782,48,M
GSE68759,GSM1680783,62,F
GSE68759,GSM1680784,65,F
GSE68759,GSM1680785,50,F
GSE68759,GSM1680786,60,F
GSE68759,GSM1680787,55,F
GSE68759,GSM1680788,31,F
GSE68759,GSM1680789,41,F
GSE75511,GSM1958168,70,F
GSE75511,GSM1958169,30,F
GSE75511,GSM1958170,26,M
GSE75511,GSM1958171,30,F
GSE75511,GSM1958172,44,M
GSE75511,GSM1958173,27,M
GSE75511,GSM1958174,27,F
GSE75511,GSM1958175,26,F
GSE75511,GSM1958176,34,F
GSE75511,GSM1958177,24,M
GSE75511,GSM1958178,35,F
GSE75511,GSM1958180,26,M
GSE75511,GSM1958181,28,F
GSE75511,GSM1958182,29,F
GSE75511,GSM1958183,28,F
GSE75511,GSM1958184,29,F
GSE75511,GSM1958185,32,F
GSE75511,GSM1958186,30,F
GSE75511,GSM1958187,20,F
GSE75511,GSM1958188,22,F
GSE75511,GSM1958189,23,F
GSE75511,GSM1958190,27,F
GSE75511,GSM1958191,20,F
GSE75511,GSM1958192,23,F
GSE75511,GSM1958193,19,F
GSE75511,GSM1958194,19,M
GSE75511,GSM1958195,26,F
GSE75511,GSM1958196,38,M
GSE75511,GSM1958197,48,M
GSE75511,GSM1958198,62,F
GSE75511,GSM1958199,27,M
GSE75511,GSM1958200,27,F
GSE75511,GSM1958201,29,F
GSE75511,GSM1958202,22,M
GSE75511,GSM1958203,59,F
GSE75511,GSM1958204,27,M
GSE75511,GSM1958205,43,F
GSE75511,GSM1958206,56,F
GSE75511,GSM1958207,45,F
